time,belpex,solar,wind,load
2021-01-11 17:00:00,71.9,0.0,2166.585,12776.665
2021-01-11 18:00:00,49.9,0.0,2166.6075,12265.155
2021-01-11 19:00:00,45.4,0.0,2166.7325,11614.38
2021-01-11 20:00:00,24.8,0.0,2166.75,10932.5825
2021-01-11 21:00:00,50.33,0.0,2166.2925,10899.225
2021-01-11 22:00:00,46.94,0.0,2166.3375,10760.775
2021-01-11 23:00:00,43.62,0.0,2166.88,10614.1425
2021-01-12 00:00:00,40.46,0.0,2166.63,10209.5325
2021-01-12 01:00:00,39.24,0.0,2166.2175,9819.3575
2021-01-12 02:00:00,37.73,0.0,2166.87,9621.0975
2021-01-12 03:00:00,38.06,0.0,2166.58,9648.96
2021-01-12 04:00:00,43.39,0.0,2165.5975,10043.705
2021-01-12 05:00:00,48.84,0.0,2146.8125,11108.78
2021-01-12 06:00:00,62.59,0.0,1986.0425,12028.0925
2021-01-12 07:00:00,62.16,1.2425,1879.1525,12415.3875
2021-01-12 08:00:00,74.14,42.705,1615.51,12403.4725
2021-01-12 09:00:00,68.59,129.435,1294.4425,12354.5225
2021-01-12 10:00:00,64.34,232.1,1323.05,12434.3875
2021-01-12 11:00:00,64.92,309.5875,1344.8875,12249.62
2021-01-12 12:00:00,61.9,344.215,1550.16,12257.045
2021-01-12 13:00:00,59.82,340.3825,1579.95,12205.655
2021-01-12 14:00:00,64.18,225.7725,1723.595,12233.3925
2021-01-12 15:00:00,66.47,57.35,1694.85,12174.4525
2021-01-12 16:00:00,79.66,0.0,1688.565,12692.5075
2021-01-12 17:00:00,92.21,0.0,1422.4075,12726.195
2021-01-12 18:00:00,90.1,0.0,1349.6025,12025.485
2021-01-12 19:00:00,84.09,0.0,1215.6775,11332.86
2021-01-12 20:00:00,55.98,0.0,1124.455,10775.61
2021-01-12 21:00:00,68.0,0.0,1169.11,10872.32
2021-01-12 22:00:00,65.8,0.0,1040.0925,10855.59
2021-01-12 23:00:00,54.47,0.0,1114.6125,10105.455
2021-01-13 00:00:00,53.4,0.0,1038.805,9824.87
2021-01-13 01:00:00,51.67,0.0,1045.235,9518.6625
2021-01-13 02:00:00,46.79,0.0,1105.1025,9328.8125
2021-01-13 03:00:00,45.85,0.0,1082.725,9409.92
2021-01-13 04:00:00,52.84,0.0,1068.5425,9852.1675
2021-01-13 05:00:00,70.0,0.0,1097.63,10961.5
2021-01-13 06:00:00,69.89,0.0,973.2725,11981.385
2021-01-13 07:00:00,73.37,4.2525,892.12,12444.6875
2021-01-13 08:00:00,76.94,179.3525,928.2225,12486.495
2021-01-13 09:00:00,68.19,531.2175,944.69,12404.5125
2021-01-13 10:00:00,65.0,790.33,946.4275,12376.5625
2021-01-13 11:00:00,65.58,921.7025,826.61,12227.9625
2021-01-13 12:00:00,62.58,841.6475,595.77,12270.155
2021-01-13 13:00:00,62.55,607.12,417.7525,12126.7725
2021-01-13 14:00:00,64.35,318.5575,380.3175,12158.0825
2021-01-13 15:00:00,86.96,70.17,412.45,12187.985
2021-01-13 16:00:00,100.48,0.0025,332.255,12753.655
2021-01-13 17:00:00,109.97,0.0,308.3175,12806.57
2021-01-13 18:00:00,111.01,0.0,301.6375,12202.145
2021-01-13 19:00:00,70.0,0.0,267.525,11463.11
